"id_cliente_servico";"dia_vencimento";"valor";"plano";"meses_contrato";"qtd_atendimento";"qtd_ordemservico";"cidade";"contrato"
168945;dia 4;119.9;(Migrado - OBTI) 350MEGA - FTTH - SANTA MARIA;9.0;10;2;Brasília;cancelado
168961;dia 5;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;9;3;Valparaíso de Goiás;cancelado
168969;dia 7;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;22;2;Valparaíso de Goiás;cancelado
168972;dia 7;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;15;2;Valparaíso de Goiás;cancelado
168983;dia 5;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;6;1;Brasília;cancelado
168990;dia 5;169.9;Ti5-Combo-VIP-400-MEGA_DESC20;9.0;0;0;Águas Lindas de Goiás;cancelado
168996;dia 4;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;4;1;Brasília;cancelado
169000;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;5;3;Águas Lindas de Goiás;cancelado
169006;dia 4;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;10;3;Novo Gama;cancelado
169014;dia 4;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;12;3;Águas Lindas de Goiás;cancelado
169018;dia 9;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;8;2;Novo Gama;cancelado
169024;dia 7;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;1;1;Valparaíso de Goiás;cancelado
169025;dia 5;109.9;Ti5-Combo-100-MEGA_DESC10;9.0;3;1;Águas Lindas de Goiás;cancelado
169026;dia 9;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;14;2;Valparaíso de Goiás;cancelado
169029;dia 7;169.9;Ti5-BSB-Combo-VIP-400-MEGA-DESC20;9.0;2;1;Brasília;cancelado
169030;dia 12;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;8;1;Valparaíso de Goiás;cancelado
169034;dia 5;169.9;TiLog-BSB-Combo-VIP-400-MEGA_DESC20;9.0;13;2;Brasília;cancelado
169039;dia 7;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;9.0;26;3;Águas Lindas de Goiás;cancelado
