"cod_servico";"dia_vencimento";"valor";"plano";"meses_contrato";"equipamento";"qtd_atendimento";"qtd_ordemservico";"cod_cidade";"contrato"
365313;6;109.9;3566;3.0;"";13;5;890;11
365315;5;109.9;3566;3.0;"";2;1;947;11
365317;96;144.9;3565;3.0;"";1;1;977;11
365321;7;109.9;3566;3.0;"";2;1;1005;11
365327;14;109.9;3566;3.0;"";2;1;890;11
365328;5;109.9;3566;3.0;"";3;1;1074;11
365334;5;109.9;3566;3.0;"";3;1;890;11
365343;7;109.9;3566;3.0;"";3;2;1005;11
365346;7;144.9;3580;3.0;"";2;1;805;11
365347;4;144.9;4062;3.0;"";1;1;2293;11
365348;4;109.9;3566;3.0;"";4;1;1005;11
365349;14;109.9;3566;3.0;"";4;2;1005;9
365352;85;144.9;3565;3.0;"{""onu_type"":""5506-01-A1""}";5;1;1105;11
365355;10;144.9;3565;3.0;"{""onu_type"":""unKnown""}";16;1;1047;14
365356;4;109.9;3566;3.0;"";5;2;5645;11
365360;85;109.9;4077;3.0;"";5;1;2293;11
365361;7;109.9;3583;3.0;"";2;1;805;11
365362;7;144.9;3565;5.0;"";18;2;890;11
365379;5;109.9;3566;3.0;"{""interface"":""gpon-onu_1\/5\/12:68"",""onu_type"":""ZTE-F601\r"",""state"":""working"",""distance"":""7704m""}";2;1;1122;11
365385;4;109.9;3566;3.0;"";13;2;5645;11
365387;4;109.9;3566;3.0;"";12;2;1122;95
365392;4;144.9;3565;3.0;"";19;2;890;9
365398;7;179.9;3569;3.0;"";12;1;915;9
365402;5;109.9;3583;3.0;"";10;2;805;11
365403;14;0.0;4103;3.0;"";2;2;915;11
365405;4;109.9;3566;3.0;"{""model"":""5506-SFU""}";8;3;953;11
365406;7;109.9;3566;3.0;"";8;1;890;11
365408;5;144.9;3565;3.0;"";4;1;890;11
365410;4;144.9;3565;5.0;"";10;1;890;11
365411;7;144.9;3565;3.0;"";6;1;890;11
365414;6;144.9;3580;3.0;"";7;1;805;11
365415;10;144.9;3565;7.0;"{""interface"":""gpon-onu_1\/7\/13:7"",""onu_type"":""F670LV1.1.01\r"",""state"":""working"",""distance"":""6597m"",""ont_rx_power"":-29.829,""rx_signal"":-23.98}";4;0;890;11
365416;14;0.0;4103;3.0;"{""rx_signal"":0,""tx_signal"":0,""distance"":0}";2;2;915;11
365417;14;0.0;4103;3.0;"{""rx_signal"":"""",""tx_signal"":"""",""model"":""-"",""distance"":""""}";3;3;915;11
365418;5;144.9;3565;3.0;"";8;1;890;11
365419;6;109.9;3566;3.0;"";3;1;890;11
365427;7;189.9;4141;6.0;"{""onu_type"":""AN5506-SFU""}";3;2;805;11
365428;7;109.9;3583;3.0;"";7;3;805;11
365429;6;109.9;3566;3.0;"";17;2;5645;9
365430;4;189.9;4141;6.0;"{""interface"":""gpon-onu_1\/7\/1:7"",""onu_type"":""ZTE-F601\r"",""state"":""DyingGasp"",""distance"":""1158m"",""ont_rx_power"":0,""rx_signal"":0}";5;1;805;11
365447;4;199.9;4141;8.0;"{""onu_type"":""5506-01-A1""}";1;0;805;11
365448;7;109.9;3583;3.0;"";5;1;805;11
365450;6;144.9;4062;3.0;"";4;1;2293;11
365453;10;109.9;3566;7.0;"{""onu_type"":""unKnown""}";14;0;947;14
365454;9;109.9;3566;3.0;"";9;3;890;9
365457;9;144.9;3565;3.0;"{""onu_type"":""5506-01-A1""}";8;1;1077;11
365458;4;109.9;3566;3.0;"";12;1;890;14
365461;7;109.9;3566;3.0;"";2;1;1074;11
365463;7;109.9;3566;3.0;"";17;2;928;11
365464;4;144.9;3565;3.0;"{""onu_type"":""5506-01-A1""}";5;1;1077;11
365466;11;109.9;3583;3.0;"{""onu_type"":""unKnown""}";2;1;805;11
365467;84;144.9;3580;3.0;"";7;1;805;11
365469;4;109.9;3566;3.0;"";6;2;890;9
365473;5;179.9;3569;3.0;"";4;1;890;11
365474;11;144.9;3580;3.0;"";10;2;805;11
365479;9;109.9;3583;3.0;"";22;3;805;9
365482;14;0.0;4139;3.0;"";2;1;1122;11
365484;4;109.9;3583;3.0;"";7;2;805;11
365488;9;109.9;3566;3.0;"";2;2;1074;11
365493;7;109.9;3566;3.0;"{""onu_type"":""5506-01-A1""}";4;1;1009;11
365494;6;109.9;3566;3.0;"{""onu_type"":""HG6145E""}";12;1;1028;11
365495;6;109.9;3566;3.0;"";7;2;890;11
365496;81;144.9;3580;3.0;"";3;1;805;11
365498;7;109.9;3566;3.0;"";6;2;1074;11
365504;90;144.9;3565;3.0;"";5;2;890;11
365505;10;109.9;3583;2.0;"";2;1;805;11
365507;6;109.9;3583;3.0;"";3;2;805;11
365509;4;109.9;3583;3.0;"{""onu_type"":""5506-SFU""}";2;1;805;11
365511;7;109.9;3583;7.0;"{""model"":""HG260""}";23;1;805;11
365513;88;144.9;3565;7.0;"{""onu_type"":""HG6145E""}";12;3;1009;11
365515;7;109.9;3566;3.0;"{""interface"":""gpon-onu_1\/4\/9:109"",""ont_rx_power"":-26.498,""rx_signal"":-21.308,""onu_type"":""ZTE-F670L\r"",""state"":""working"",""distance"":""10815m""}";2;1;890;11
365516;9;179.9;3569;3.0;"{""interface"":""gpon-onu_1\/4\/8:59"",""onu_type"":""F670LV1.1.01\r"",""state"":""working"",""distance"":""3088m"",""ont_rx_power"":-26.966,""rx_signal"":-22.292}";22;3;890;11
365522;5;109.9;3566;3.0;"";6;1;890;11
365524;4;109.9;3566;3.0;"";2;1;890;11
365536;10;109.9;3566;3.0;"";16;1;953;14
365538;10;219.9;4141;7.0;"{""interface"":""gpon-onu_1\/1\/7:65"",""onu_type"":""ZTE-F601\r"",""state"":""working"",""distance"":""5327m""}";1;0;805;11
365540;4;109.9;3583;3.0;"";5;1;805;11
365541;5;130.0;4139;3.0;"";5;1;890;11
365542;5;109.9;3583;3.0;"";7;1;805;11
365547;93;109.9;3566;3.0;"";9;1;890;11
365548;93;144.9;3565;3.0;"";5;2;890;11
365550;4;144.9;3565;3.0;"{""onu_type"":""5506-01-A1""}";6;1;1077;11
365552;5;179.9;3569;3.0;"{""interface"":""gpon-onu_1\/9\/5:31"",""onu_type"":""ZTE-F601\r"",""state"":""working"",""distance"":""8553m""}";4;2;1122;11
365553;11;109.9;3566;3.0;"";4;1;890;11
365554;6;109.9;3566;3.0;"";6;3;977;11
365555;7;144.9;3580;3.0;"";27;2;805;9
365556;5;109.9;3566;3.0;"{""onu_type"":""5506-SFU""}";4;1;1047;11
365561;6;144.9;3565;3.0;"";4;3;1074;9
365562;91;109.9;3566;3.0;"{""onu_type"":""5506-01-A1""}";22;7;1009;11
365567;9;144.9;3565;3.0;"";7;1;915;11
365575;93;144.9;4062;3.0;"";12;2;2293;14
365578;88;109.9;3566;7.0;"";6;0;915;11
365585;4;109.9;3566;3.0;"";39;1;906;14
365586;7;144.9;3565;7.0;"";4;0;1047;9
365588;6;199.9;4141;3.0;"";2;0;805;9
365589;7;179.9;3582;3.0;"";11;1;805;14
365590;4;109.9;4077;3.0;"";7;1;2293;11
365591;5;144.9;3565;3.0;"";6;1;1005;11
365596;5;109.9;3566;3.0;"";3;2;890;11
365601;5;109.9;3566;3.0;"{""onu_type"":""5506-01-A1""}";3;1;1009;11
365603;6;109.9;3566;3.0;"";15;2;1052;11
365609;4;144.9;3565;3.0;"";5;1;890;11
365614;10;109.9;3566;3.0;"";3;2;1074;11
365615;6;179.9;3569;3.0;"";7;1;890;11
365618;7;109.9;3566;3.0;"";18;3;890;11
365619;88;144.9;3565;3.0;"";19;5;890;11
365620;10;109.9;3566;3.0;"";2;1;5645;11
365621;7;144.9;3580;3.0;"";6;3;805;11
365622;6;109.9;3566;3.0;"";10;2;906;11
365623;4;144.9;3565;3.0;"";4;1;953;11
365624;81;144.9;3580;3.0;"";15;1;805;11
365625;6;144.9;3565;3.0;"";24;2;890;11
365626;5;149.9;1279;8.0;"";10;2;805;9
365629;4;144.9;3565;6.0;"";1;0;890;11
365633;4;109.9;3566;3.0;"";2;1;1074;11
365634;5;144.9;3580;3.0;"";3;1;805;11
365635;5;144.9;3565;3.0;"";5;2;915;11
365641;6;109.9;4078;3.0;"";27;1;1484;95
365642;4;109.9;3583;3.0;"";2;1;805;11
365643;7;144.9;3580;3.0;"{""onu_type"":""AN5506-SFU""}";10;3;805;11
365647;4;109.9;3566;3.0;"";3;1;890;11
365649;4;109.9;3566;3.0;"";7;1;1122;11
365651;5;109.9;3583;3.0;"{""interface"":""gpon-onu_1\/2\/1:32"",""onu_type"":""ZTE-F601\r"",""state"":""working"",""distance"":""2790m""}";8;2;805;11
365652;5;109.9;3583;8.0;"{""onu_type"":""5506-01-A1""}";2;0;805;11
365659;6;109.9;3583;3.0;"";4;2;805;11
365661;7;109.9;3583;3.0;"";2;1;805;11
365664;91;109.9;3566;3.0;"{""onu_type"":""5506-01-A1""}";2;1;1009;11
365665;7;109.9;3583;6.0;"{""onu_type"":""5506-SFU""}";4;0;805;11
365667;5;144.9;3580;3.0;"";5;1;805;11
365668;6;109.9;4077;3.0;"";6;1;2293;14
365672;10;109.9;3566;3.0;"";16;3;5645;11
365675;4;144.9;3580;3.0;"{""onu_type"":""5506-SFU""}";15;2;805;14
365676;5;179.9;3569;3.0;"{""onu_type"":""5506-01-A1""}";24;1;915;14
365680;83;144.9;3565;3.0;"";20;1;890;14
365681;5;129.9;4141;8.0;"";1;0;805;11
365683;7;144.9;3565;3.0;"";6;1;890;11
365685;13;109.9;3566;3.0;"";4;1;5645;11
365686;4;109.9;3583;3.0;"{""onu_type"":""AN5506-SFU""}";21;2;805;11
365687;11;144.9;3565;3.0;"";19;2;890;9
365690;7;179.0;4100;3.0;"{""onu_type"":""5506-01-A1""}";6;1;1009;11
365700;5;129.9;4139;8.0;"{""interface"":""gpon-onu_1\/6\/7:33"",""onu_type"":""F670LV1.1.01\r"",""state"":""working"",""distance"":""2936m"",""ont_rx_power"":-22.321,""rx_signal"":-18.862}";0;0;890;11
365701;4;109.9;3566;3.0;"";6;2;890;11
365703;95;109.9;3566;3.0;"{""interface"":""gpon-onu_1\/3\/8:93"",""onu_type"":""ZTE-F601\r"",""state"":""working"",""distance"":""4210m""}";15;1;1122;14
365705;97;144.9;4062;3.0;"";15;1;2293;11
365707;5;144.9;3580;5.0;"";4;0;805;11
365711;5;209.9;3570;3.0;"{""onu_type"":""5506-SFU""}";5;1;947;11
365712;4;159.9;3572;7.0;"";1;0;990;9
365713;4;109.9;3566;3.0;"";9;1;890;11
365714;6;144.9;3565;3.0;"";9;1;890;11
365715;14;109.9;3583;3.0;"";7;1;805;11
365719;14;144.9;3565;3.0;"";10;4;953;9
365720;11;144.9;3565;3.0;"{""onu_type"":""5506-01-A1""}";19;2;1077;9
365723;6;109.9;3583;3.0;"";4;1;805;11
365724;9;109.9;3566;3.0;"";19;1;990;14
365726;11;144.9;3565;3.0;"";23;2;1052;9
365727;94;109.9;3566;5.0;"";7;0;890;11
365732;4;179.9;3569;7.0;"";4;1;890;11
365734;10;109.9;3566;3.0;"";2;1;5645;11
365737;85;109.9;3566;3.0;"";5;1;906;9
365738;4;109.9;3566;3.0;"{""interface"":""gpon-onu_1\/4\/16:32"",""onu_type"":""F670LV1.1.01\r"",""state"":""working"",""distance"":""4267m"",""ont_rx_power"":-26.459,""rx_signal"":-21.427}";2;1;890;11
365739;7;109.9;3566;3.0;"";18;2;928;9
365743;9;109.9;3566;3.0;"";5;2;890;11
365755;6;109.9;3583;3.0;"";8;1;805;11
365758;93;144.9;3565;3.0;"";19;2;1005;13
365763;5;109.9;3566;3.0;"";4;1;5645;11
365768;7;109.9;3566;3.0;"";5;2;890;11
365775;7;144.9;3580;3.0;"";10;2;805;11
365779;4;109.9;3566;3.0;"";6;2;890;11
365780;4;144.9;3565;3.0;"";4;1;890;11
365788;7;144.9;3580;3.0;"[]";5;1;805;11
365789;5;109.9;3566;3.0;"";7;2;890;11
365790;5;144.9;3565;7.0;"{""interface"":""gpon-onu_1\/3\/8:63"",""onu_type"":""F670LV1.1.01\r"",""state"":""working"",""distance"":""4229m"",""ont_rx_power"":-27.496,""rx_signal"":-23.098}";27;0;890;11
365791;81;144.9;3565;3.0;"";38;1;1122;14
365792;7;109.9;3566;7.0;"{""onu_type"":""5506-SFU""}";13;0;947;11
365793;5;109.9;3566;3.0;"{""onu_type"":""5506-01-A1""}";4;2;1009;11
365794;10;109.9;4077;3.0;"";15;6;2293;11
365795;7;179.9;3569;3.0;"";24;2;948;9
365796;4;144.9;3565;3.0;"{""interface"":""gpon-onu_1\/3\/1:18"",""onu_type"":""ZTE-F670L\r"",""state"":""DyingGasp"",""distance"":""4069m"",""ont_rx_power"":0,""rx_signal"":0}";19;2;890;14
365797;7;109.9;3583;3.0;"";11;2;805;14
365807;5;109.9;3566;3.0;"{""onu_type"":""5506-01-A1""}";1;1;930;11
365809;4;144.9;3565;3.0;"";15;2;890;9
365812;7;144.9;3565;5.0;"{""interface"":""gpon-onu_1\/2\/5:62"",""onu_type"":""ZTE-F601\r"",""state"":""LOS"",""distance"":""1546m""}";9;0;1052;13
365815;4;144.9;3565;7.0;"";0;0;990;11
365816;14;144.9;3565;3.0;"";8;2;890;14
365817;9;144.9;3565;3.0;"{""interface"":""gpon-onu_1\/4\/3:42"",""onu_type"":""F670LV1.1.01\r"",""state"":""working"",""distance"":""5380m""}";21;2;1122;95
365823;9;109.9;3566;3.0;"";5;1;5645;11
365824;4;144.9;3565;3.0;"";2;1;5645;11
365828;4;109.9;3566;3.0;"";1;1;1005;11
365829;5;79.9;4120;3.0;"";1;1;901;11
365830;4;139.9;4334;3.0;"";2;2;1074;11
365832;12;144.9;3580;3.0;"";6;1;805;11
