"id_cliente_servico";"dia_vencimento";"valor";"plano";"meses_contrato";"qtd_atendimento";"qtd_ordemservico";"cidade";"contrato"
189788;dia 5;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;5;1;Águas Lindas de Goiás;servico_habilitado
189809;dia 7;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;4;2;Águas Lindas de Goiás;servico_habilitado
189817;dia 5;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;8.0;5;1;Brasília;servico_habilitado
189827;dia 6;129.99;ALLREDE-DP-350MEGA-FIBRA_DESC10;8.0;33;7;Águas Lindas de Goiás;servico_habilitado
189838;dia 4;99.9;ALLREDE-DP-E-DF-250MEGA;8.0;9;1;Brasília;servico_habilitado
189839;dia 7;129.99;ALLREDE-DP-350MEGA-FIBRA_DESC10;8.0;33;5;Águas Lindas de Goiás;servico_habilitado
189840;dia 4;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;12;5;Águas Lindas de Goiás;servico_habilitado
189863;dia 4;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;8.0;6;1;Águas Lindas de Goiás;servico_habilitado
189868;dia 4;119.9;ALLREDE-DP-E-DF-200MEGA-FIBRA-DESC20;8.0;5;2;Brasília;servico_habilitado
189873;dia 5;149.9;ALLREDE-DP-E-DF-500MEGA-FIBRA;8.0;10;1;Brasília;servico_habilitado
189878;dia 7;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;7;1;Águas Lindas de Goiás;servico_habilitado
189881;dia 10;149.9;ALLREDE-DP-E-DF-500MEGA-FIBRA;8.0;8;1;Brasília;servico_habilitado
189885;dia 9;119.9;ALLREDE-DP-E-DF-350MEGA-FIBRA;8.0;7;1;Brasília;servico_habilitado
189893;dia 9;0.0;(Migrado - teste-allrede) ALLREDE-DP-250MEGA;8.0;5;2;Novo Gama;servico_habilitado
189897;dia 4;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;8.0;5;1;Valparaíso de Goiás;servico_habilitado
189900;dia 5;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;8.0;13;1;Cidade Ocidental;servico_habilitado
189912;dia 4;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;8.0;9;2;Águas Lindas de Goiás;servico_habilitado
189918;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;62;1;Águas Lindas de Goiás;servico_habilitado
189922;dia 4;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;8.0;5;2;Águas Lindas de Goiás;servico_habilitado
189924;dia 4;149.9;(Migrado - teste-allrede) ALLREDE-DP-500MEGA-FIBRA;8.0;22;2;Goiás;servico_habilitado
189925;dia 7;149.9;(Migrado - teste-allrede) ALLREDE-DP-500MEGA-FIBRA;8.0;10;1;Cidade Ocidental;servico_habilitado
189930;dia 9;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;11;1;Águas Lindas de Goiás;servico_habilitado
189934;dia 7;119.9;ALLREDE-DP-E-DF-250MEGA-20DESC;8.0;20;2;Brasília;servico_habilitado
189937;dia 9;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;8.0;7;1;Brasília;servico_habilitado
189943;dia 6;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;13;4;Águas Lindas de Goiás;servico_habilitado
189949;dia 5;99.9;ALLREDE-DP-E-DF-250MEGA;8.0;16;2;Brasília;servico_habilitado
189952;dia 5;0.0;Ti5 - FIBRA-1GIGA;8.0;0;0;Brasília;servico_habilitado
189958;dia 4;129.99;ALLREDE-DP-350MEGA-FIBRA_DESC10;8.0;19;1;Águas Lindas de Goiás;servico_habilitado
189960;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;13;1;Águas Lindas de Goiás;servico_habilitado
189961;dia 7;129.99;ALLREDE-DP-350MEGA-FIBRA_DESC10;8.0;21;2;Águas Lindas de Goiás;servico_habilitado
189972;dia 7;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;17;2;Águas Lindas de Goiás;servico_habilitado
189977;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;8;4;Águas Lindas de Goiás;servico_habilitado
189981;dia 4;119.9;ALLREDE-DP-250MEGA-20DESC;8.0;3;1;Valparaíso de Goiás;servico_habilitado
189988;dia 7;99.9;(Migrado - teste-allrede) ALLREDE-DP-250MEGA;8.0;38;2;Novo Gama;servico_habilitado
189994;dia 5;119.9;(Migrado - teste-allrede) ALLREDE-DP-350MEGA-FIBRA;8.0;5;1;Novo Gama;servico_habilitado
189999;dia 5;119.9;ALLREDE-DP-250MEGA-20DESC;8.0;6;1;Valparaíso de Goiás;servico_habilitado
190000;dia 5;119.9;ALLREDE-DP-E-DF-200MEGA-FIBRA-DESC20;8.0;13;1;Brasília;servico_habilitado
190003;dia 9;119.9;ALLREDE-DP-250MEGA-20DESC;8.0;6;1;Valparaíso de Goiás;servico_habilitado
190005;dia 5;119.9;ALLREDE-DP-E-DF-350MEGA-FIBRA;8.0;14;1;Brasília;servico_habilitado
190009;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;12;2;Águas Lindas de Goiás;servico_habilitado
190013;dia 4;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;8.0;12;5;Águas Lindas de Goiás;servico_habilitado
190016;dia 5;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;8.0;8;1;Brasília;servico_habilitado
190018;dia 5;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;8.0;19;2;Padre Bernardo;servico_habilitado
190020;dia 9;83.8;(Migrado - teste-allrede) ALLREDE-DP-35MEGA-FIBRA;8.0;3;1;Águas Lindas de Goiás;servico_habilitado
190026;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;5;1;Águas Lindas de Goiás;servico_habilitado
190028;dia 9;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;36;3;Águas Lindas de Goiás;servico_habilitado
190029;dia 4;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;8.0;4;1;Brasília;servico_habilitado
190030;dia 5;129.99;ALLREDE-DP-350MEGA-FIBRA_DESC10;8.0;8;2;Águas Lindas de Goiás;servico_habilitado
190032;dia 6;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;1;1;Águas Lindas de Goiás;servico_habilitado
190033;dia 4;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;2;1;Águas Lindas de Goiás;servico_habilitado
190034;dia 5;119.9;ALLREDE-DP-E-DF-200MEGA-FIBRA-DESC20;8.0;2;1;Brasília;servico_habilitado
190037;dia 9;169.9;ALLREDE-DP-400MEGA-FIBRA_DESC20;8.0;2;1;Águas Lindas de Goiás;servico_habilitado
190043;dia 9;169.9;ALLREDE-DP-E-DF-500MEGA-FIBRA_DESC20;8.0;10;4;Brasília;servico_habilitado
190048;dia 10;99.9;ALLREDE-DP-E-DF-250MEGA;8.0;14;1;Brasília;servico_habilitado
190063;dia 4;119.9;ALLREDE-DP-E-DF-250MEGA-20DESC;8.0;8;2;Brasília;servico_habilitado
190064;dia 9;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;8.0;7;2;Águas Lindas de Goiás;servico_habilitado
190068;dia 7;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;8.0;13;1;Brasília;servico_habilitado
190069;dia 4;119.9;ALLREDE-DP-E-DF-250MEGA-20DESC;8.0;9;5;Brasília;servico_habilitado
190075;dia 7;119.9;ALLREDE-DP-E-DF-350MEGA-FIBRA;8.0;54;6;Brasília;servico_habilitado
190077;dia 5;119.9;ALLREDE-DP-E-DF-350MEGA-FIBRA;8.0;13;5;Brasília;servico_habilitado
205956;dia 5;109.9;ALLREDE-DP-E-DF-200MEGA-FIBRA-10DESC;9.0;32;8;Brasília;servico_habilitado
227740;dia 94;99.0;(Migrado - teste-allrede) ALLREDE-DP-50MEGA;8.0;26;4;Cristalina;servico_habilitado
234828;dia 6;139.9;(Migrado - LOGTEL) PF 300 MEGA COMBO IDEAL PLAY_DESC20;9.0;14;3;Brasília;servico_habilitado
235585;dia 14;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;8.0;56;7;Brasília;servico_habilitado
236104;dia 4;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;26;4;Brasília;servico_habilitado
236228;dia 4;109.9;ALLREDE-DP-100MEGA-FIBRA-10DESC;9.0;34;9;Cristalina;servico_habilitado
236812;dia 5;139.9;(Migrado - LOGTEL) PF 300 MEGA COMBO IDEAL PLAY_DESC20;8.0;37;6;Brasília;servico_habilitado
238186;dia 9;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;10;3;Brasília;servico_habilitado
238484;dia 4;109.9;(Migrado - LOGTEL) PF 200 MEGA COMBO BÁSICO PLAY_DESC10;9.0;33;3;Brasília;servico_habilitado
238512;dia 9;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;9.0;15;3;Cristalina;servico_habilitado
238517;dia 5;109.9;ALLREDE-DP-E-DF-200MEGA-FIBRA-10DESC;9.0;13;3;Brasília;servico_habilitado
238536;dia 4;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;18;4;Brasília;servico_habilitado
238537;dia 4;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;14;3;Brasília;servico_habilitado
238538;dia 92;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;7;1;Brasília;servico_habilitado
238539;dia 4;109.9;ALLREDE-DP-E-DF-200MEGA-FIBRA-10DESC;9.0;19;2;Brasília;servico_habilitado
238541;dia 96;109.9;(Migrado - teste-allrede) ALLREDE-DP-200MEGA-FIBRA-DESC10;9.0;16;1;Cristalina;servico_habilitado
238542;dia 6;139.9;(Migrado - LOGTEL) PF 300 MEGA COMBO IDEAL PLAY_DESC20;9.0;13;4;Brasília;servico_habilitado
238544;dia 5;139.9;(Migrado - LOGTEL) PF 300 MEGA COMBO IDEAL PLAY_DESC20;9.0;16;3;Brasília;servico_habilitado
238545;dia 96;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;29;2;Brasília;servico_habilitado
238550;dia 4;109.9;ALLREDE-DP-E-DF-200MEGA-FIBRA-10DESC;9.0;13;3;Brasília;servico_habilitado
238551;dia 6;139.9;(Migrado - LOGTEL) PF 300 MEGA COMBO IDEAL PLAY_DESC20;9.0;16;2;Brasília;servico_habilitado
238553;dia 11;109.9;ALLREDE-DP-E-DF-200MEGA-FIBRA-10DESC;9.0;8;2;Brasília;servico_habilitado
238555;dia 7;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;26;2;Brasília;servico_habilitado
238557;dia 9;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;9.0;8;1;Cristalina;servico_habilitado
238559;dia 7;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;10;2;Brasília;servico_habilitado
238560;dia 93;109.9;(Migrado - teste-allrede) ALLREDE-DP-200MEGA-FIBRA-DESC10;9.0;16;4;Santo Antônio do Descoberto;servico_habilitado
238561;dia 92;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;9.0;11;1;Cristalina;servico_habilitado
238565;dia 9;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;9.0;20;4;Cristalina;servico_habilitado
238566;dia 5;169.9;ALLREDE-DP-E-DF-400MEGA-FIBRA_DESC20;9.0;6;1;Brasília;servico_habilitado
238568;dia 4;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;14;4;Brasília;servico_habilitado
238571;dia 14;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;9.0;12;1;Cristalina;servico_habilitado
238573;dia 5;139.9;(Migrado - LOGTEL) PF 300 MEGA COMBO IDEAL PLAY_DESC20;9.0;5;2;Brasília;servico_habilitado
238574;dia 13;109.9;(Migrado - LOGTEL) PF 200 MEGA COMBO BÁSICO PLAY_DESC10;9.0;6;1;Santo Antônio do Descoberto;servico_habilitado
